path,emotion
d:/Korean_emotion/crop/1_20201201132755-001-006.jpg,1
d:/Korean_emotion/crop/1_20201201132755-001-010.jpg,1
d:/Korean_emotion/crop/1_20201201132755-001-015.jpg,1
d:/Korean_emotion/crop/1_20201201132808-002-011.jpg,1
d:/Korean_emotion/crop/1_20201201132822-003-006.jpg,1
d:/Korean_emotion/crop/1_20201201132822-003-016.jpg,1
d:/Korean_emotion/crop/1_20201201132848-005-004.jpg,1
d:/Korean_emotion/crop/1_20201201132848-005-008.jpg,1
d:/Korean_emotion/crop/1_20201201132900-006-007.jpg,1
d:/Korean_emotion/crop/1_20201201132900-006-008.jpg,1
d:/Korean_emotion/crop/1_20201201132912-007-009.jpg,1
d:/Korean_emotion/crop/1_20201201132925-008-007.jpg,1
d:/Korean_emotion/crop/1_20201201132925-008-012.jpg,1
d:/Korean_emotion/crop/1_20201201132938-009-007.jpg,1
d:/Korean_emotion/crop/1_20201201132938-009-012.jpg,1
d:/Korean_emotion/crop/1_20201201132951-010-001.jpg,1
d:/Korean_emotion/crop/1_20201201132951-010-002.jpg,1
d:/Korean_emotion/crop/1_20201201201427-002-001.jpg,1
d:/Korean_emotion/crop/1_20201201201427-002-011.jpg,1
d:/Korean_emotion/crop/1_20201201201427-002-025.jpg,1
d:/Korean_emotion/crop/1_20201201201441-003-014.jpg,1
d:/Korean_emotion/crop/1_20201201201441-003-022.jpg,1
d:/Korean_emotion/crop/1_20201201201453-004-016.jpg,1
d:/Korean_emotion/crop/1_20201201201453-004-023.jpg,1
d:/Korean_emotion/crop/1_20201201201516-007-004.jpg,1
d:/Korean_emotion/crop/1_20201201201530-008-027.jpg,1
d:/Korean_emotion/crop/1_20201202120039-001-008.jpg,1
d:/Korean_emotion/crop/1_20201202120049-002-010.jpg,1
d:/Korean_emotion/crop/1_20201202120049-002-011.jpg,1
d:/Korean_emotion/crop/1_20201202120049-002-019.jpg,1
d:/Korean_emotion/crop/1_20201202120333-003-002.jpg,1
d:/Korean_emotion/crop/1_20201202120333-003-007.jpg,1
d:/Korean_emotion/crop/1_20201202120333-003-017.jpg,1
d:/Korean_emotion/crop/1_20201202120347-004-001.jpg,1
d:/Korean_emotion/crop/1_20201202120347-004-006.jpg,1
d:/Korean_emotion/crop/1_20201202120403-005-003.jpg,1
d:/Korean_emotion/crop/1_20201202120403-005-012.jpg,1
d:/Korean_emotion/crop/1_20201202120403-005-014.jpg,1
d:/Korean_emotion/crop/1_20201202120411-006-003.jpg,1
d:/Korean_emotion/crop/1_20201202120411-006-004.jpg,1
d:/Korean_emotion/crop/1_20201202120421-007-006.jpg,1
d:/Korean_emotion/crop/1_20201202120421-007-010.jpg,1
d:/Korean_emotion/crop/1_20201202120431-008-004.jpg,1
d:/Korean_emotion/crop/1_20201202120450-009-011.jpg,1
d:/Korean_emotion/crop/1_20201202125815-001-004.jpg,1
d:/Korean_emotion/crop/1_20201202125831-002-002.jpg,1
d:/Korean_emotion/crop/1_20201202125901-003-002.jpg,1
d:/Korean_emotion/crop/1_20201202125901-003-021.jpg,1
d:/Korean_emotion/crop/1_20201202125901-003-025.jpg,1
d:/Korean_emotion/crop/1_20201202125901-003-036.jpg,1
d:/Korean_emotion/crop/1_20201202125901-003-050.jpg,1
d:/Korean_emotion/crop/1_20201202125911-004-002.jpg,1
d:/Korean_emotion/crop/1_20201202125930-005-014.jpg,1
d:/Korean_emotion/crop/1_20201202125930-005-016.jpg,1
d:/Korean_emotion/crop/1_20201202125945-006-003.jpg,1
d:/Korean_emotion/crop/1_20201202130226-010-002.jpg,1
d:/Korean_emotion/crop/1_20201202130226-010-003.jpg,1
d:/Korean_emotion/crop/1_20201202140506-001-002.jpg,1
d:/Korean_emotion/crop/1_20201202140532-003-006.jpg,1
d:/Korean_emotion/crop/1_20201202140532-003-026.jpg,1
d:/Korean_emotion/crop/1_20201202140541-004-001.jpg,1
d:/Korean_emotion/crop/1_20201202140644-008-006.jpg,1
d:/Korean_emotion/crop/1_20201202140644-008-018.jpg,1
d:/Korean_emotion/crop/1_20201202140644-008-025.jpg,1
d:/Korean_emotion/crop/1_20201202140644-008-027.jpg,1
d:/Korean_emotion/crop/1_20201202140651-009-003.jpg,1
d:/Korean_emotion/crop/1_20201202144119-001-005.jpg,1
d:/Korean_emotion/crop/1_20201202144119-001-010.jpg,1
d:/Korean_emotion/crop/1_20201202144138-002-020.jpg,1
d:/Korean_emotion/crop/1_20201202144152-003-001.jpg,1
d:/Korean_emotion/crop/1_20201202144152-003-020.jpg,1
d:/Korean_emotion/crop/1_20201202144201-004-004.jpg,1
d:/Korean_emotion/crop/1_20201202144212-005-016.jpg,1
d:/Korean_emotion/crop/1_20201202144242-007-001.jpg,1
d:/Korean_emotion/crop/1_20201202144242-007-019.jpg,1
d:/Korean_emotion/crop/1_20201202144252-008-001.jpg,1
d:/Korean_emotion/crop/1_20201202151433-001-018.jpg,1
d:/Korean_emotion/crop/1_20201202172718-001-020.jpg,1
d:/Korean_emotion/crop/1_20201202172735-002-018.jpg,1
d:/Korean_emotion/crop/1_20201202172749-003-003.jpg,1
d:/Korean_emotion/crop/1_20201202172749-003-007.jpg,1
d:/Korean_emotion/crop/1_20201202172749-003-009.jpg,1
d:/Korean_emotion/crop/1_20201202172749-003-012.jpg,1
d:/Korean_emotion/crop/1_20201202172749-003-020.jpg,1
d:/Korean_emotion/crop/1_20201202172749-003-023.jpg,1
d:/Korean_emotion/crop/1_20201202172837-007-006.jpg,1
d:/Korean_emotion/crop/1_20201202172856-009-002.jpg,1
d:/Korean_emotion/crop/1_20201202174934-001-001.jpg,1
d:/Korean_emotion/crop/1_20201202174934-001-012.jpg,1
d:/Korean_emotion/crop/1_20201202174951-002-002.jpg,1
d:/Korean_emotion/crop/1_20201202174951-002-017.jpg,1
d:/Korean_emotion/crop/1_20201202174951-002-018.jpg,1
